RequestID;SubmitTime;Duration;DataProcessed;Submitter;Status;SessionID;DataProcessedGB
55388047;7/21/21, 11:11:10 PM;2 sec;49.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.049
55387785;7/21/21, 11:11:07 PM;2 sec;26.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.026
55387447;7/21/21, 11:11:06 PM;1 sec;39.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.039
55387216;7/21/21, 11:11:04 PM;1 sec;11.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.011
55386839;7/21/21, 11:10:55 PM;9 sec;140.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.14
55385299;7/21/21, 11:10:52 PM;2 sec;59.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.059
55383782;7/21/21, 11:10:52 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55380131;7/21/21, 11:10:48 PM;3 sec;141.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.141
55377808;7/21/21, 11:10:43 PM;4 sec;28.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.028
55376425;7/21/21, 11:10:38 PM;5 sec;48.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.048
55375200;7/21/21, 11:10:36 PM;2 sec;83.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.083
55373302;7/21/21, 11:10:32 PM;3 sec;202.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.202
55372526;7/21/21, 11:10:30 PM;1 sec;13.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.013
55372199;7/21/21, 11:10:27 PM;3 sec;21.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.021
55371939;7/21/21, 11:10:25 PM;1 sec;13.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.013
55371718;7/21/21, 11:10:25 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55371643;7/21/21, 11:10:24 PM;0 sec;46.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.046
55371560;7/21/21, 11:10:23 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55371484;7/21/21, 11:10:23 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55371401;7/21/21, 11:10:23 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55371326;7/21/21, 11:10:22 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55371243;7/21/21, 11:10:22 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55371131;7/21/21, 11:10:20 PM;2 sec;121.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.121
55370467;7/21/21, 11:10:19 PM;0 sec;17.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.017
55369930;7/21/21, 11:10:19 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55369612;7/21/21, 11:10:19 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55369537;7/21/21, 11:10:18 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55369454;7/21/21, 11:10:18 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
55367958;7/21/21, 11:10:11 PM;6 sec;38.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.038
55367875;7/21/21, 11:10:11 PM;0 sec;10.00 MB;benchmark_admin_1gb_parquet;Completed;N/A;0.01
